	Measurement	Nutrient	rho	p	q
28	NH3_N_day	nutr_ADF org.	-0.6315335196695148	0.0028208733194731426	0.006686514535047449
29	NH3_N_day	nutr_OM	0.8645264686738018	8.835355142655163e-07	1.2117058481355652e-05
30	C2_L	nutr_XA	-0.42306614424462646	0.06308877012404042	0.10094203219846468
31	C2_L	nutr_XL	0.5824823725107175	0.007040245212793039	0.014380075328258123
32	C2_L	nutr_XP	0.5824823725107175	0.007040245212793039	0.014380075328258123
33	C2_L	nutr_NDF org.	0.5824823725107175	0.007040245212793039	0.014380075328258123
34	C2_L	nutr_ADF org.	-0.5947451593004168	0.005676576280988399	0.01267328658081131
35	C2_L	nutr_OM	0.42306614424462646	0.06308877012404042	0.10094203219846468
36	C3_L	nutr_XA	-0.11347344501623506	0.633834572075105	0.7243823680858342
37	C3_L	nutr_XL	0.10120604555502045	0.6711595752082609	0.7535826809355911
38	C3_L	nutr_XP	0.10120604555502045	0.6711595752082609	0.7535826809355911
39	C3_L	nutr_NDF org.	0.10120604555502045	0.6711595752082609	0.7535826809355911
40	C3_L	nutr_ADF org.	-0.06440384717137665	0.7873472837888624	0.83983710270812
41	C3_L	nutr_OM	0.11347344501623506	0.633834572075105	0.7243823680858342
42	C4I_L	nutr_XA	-0.7438587061763452	0.00017003472370374467	0.0006045679065022032
43	C4I_L	nutr_XL	0.8914009288890088	1.3373028140624776e-07	3.668030575714224e-06
44	C4I_L	nutr_XP	0.8914009288890088	1.3373028140624776e-07	3.668030575714224e-06
45	C4I_L	nutr_NDF org.	0.8914009288890088	1.3373028140624776e-07	3.668030575714224e-06
46	C4I_L	nutr_ADF org.	-0.8022608360001079	2.0883255233645183e-05	0.00010541480965998572
47	C4I_L	nutr_OM	0.7438587061763452	0.00017003472370374467	0.0006045679065022032
48	C4_L	nutr_XA	-0.3556208169012801	0.12385582515460533	0.16985941735488733
49	C4_L	nutr_XL	0.38014639048067883	0.09825959233223816	0.14078986364022186
50	C4_L	nutr_XP	0.38014639048067883	0.09825959233223816	0.14078986364022186
51	C4_L	nutr_NDF org.	0.38014639048067883	0.09825959233223816	0.14078986364022186
52	C4_L	nutr_ADF org.	-0.33109524332188156	0.1538821281396889	0.20098890206000183
53	C4_L	nutr_OM	0.3556208169012801	0.12385582515460533	0.16985941735488733
54	C5I_L	nutr_XA	-0.4108033574549271	0.07197618204596773	0.11055541562260644
55	C5I_L	nutr_XL	0.5395626187467699	0.014074540148995035	0.025983766428913913
56	C5I_L	nutr_XP	0.5395626187467699	0.014074540148995035	0.025983766428913913
57	C5I_L	nutr_NDF org.	0.5395626187467699	0.014074540148995035	0.025983766428913913
58	C5I_L	nutr_ADF org.	-0.5579567989313189	0.010574540038130409	0.02010209591406969
59	C5I_L	nutr_OM	0.4108033574549271	0.07197618204596773	0.11055541562260644
60	C5_L	nutr_XA	0.0184080260127681	0.9386008407625914	0.9484808496127239
61	C5_L	nutr_XL	-0.0245440346836908	0.9181919286625122	0.9377592651093984
62	C5_L	nutr_XP	-0.0245440346836908	0.9181919286625122	0.9377592651093984
63	C5_L	nutr_NDF org.	-0.0245440346836908	0.9181919286625122	0.9377592651093984
64	C5_L	nutr_ADF org.	0.00920401300638405	0.969279614653256	0.9743543770336396
65	C5_L	nutr_OM	-0.0184080260127681	0.9386008407625914	0.9484808496127239
66	VFA_L	nutr_XA	-0.5640881923261686	0.009579124579671425	0.01915824915934285
67	VFA_L	nutr_XL	0.7296358139871093	0.0002611117796731974	0.0008643700292629983
68	VFA_L	nutr_XP	0.7296358139871093	0.0002611117796731974	0.0008643700292629983
69	VFA_L	nutr_NDF org.	0.7296358139871093	0.0002611117796731974	0.0008643700292629983
70	VFA_L	nutr_ADF org.	-0.7112416338025602	0.00043813219526213533	0.001274566386217121
71	VFA_L	nutr_OM	0.5640881923261686	0.009579124579671425	0.01915824915934285
72	C2_day	nutr_XA	-0.3617522102961298	0.11705381698446583	0.16285748450012638
73	C2_day	nutr_XL	0.5272998319570706	0.01688679308725432	0.029745543786723203
74	C2_day	nutr_XP	0.5272998319570706	0.01688679308725432	0.029745543786723203
75	C2_day	nutr_NDF org.	0.5272998319570706	0.01688679308725432	0.029745543786723203
76	C2_day	nutr_ADF org.	-0.5334312253519203	0.015429269198558887	0.028213520820221966
77	C2_day	nutr_OM	0.3617522102961298	0.11705381698446583	0.16285748450012638
78	C3_day	nutr_XA	-0.09197090092274489	0.6997620776632849	0.776614560181218
79	C3_day	nutr_XL	0.04905114715879727	0.8372895676343192	0.8784677430917447
80	C3_day	nutr_XP	0.04905114715879727	0.8372895676343192	0.8784677430917447
81	C3_day	nutr_NDF org.	0.04905114715879727	0.8372895676343192	0.8784677430917447
82	C3_day	nutr_ADF org.	0.0	1.0	1.0
83	C3_day	nutr_OM	0.09197090092274489	0.6997620776632849	0.776614560181218
84	C4I_day	nutr_XA	-0.7921418356473829	3.144853178115972e-05	0.0001404213512088992
85	C4I_day	nutr_XL	0.9026732545749248	5.20351335212465e-08	2.4976864090198324e-06
86	C4I_day	nutr_XP	0.9026732545749248	5.20351335212465e-08	2.4976864090198324e-06
87	C4I_day	nutr_NDF org.	0.9026732545749248	5.20351335212465e-08	2.4976864090198324e-06
88	C4I_day	nutr_ADF org.	-0.7798605668776561	5.022445827318092e-05	0.0002142910219655719
89	C4I_day	nutr_OM	0.7921418356473829	3.144853178115972e-05	0.0001404213512088992
90	C4_day	nutr_XA	-0.39854057066522786	0.08176831649745218	0.12361824226386471
91	C4_day	nutr_XL	0.4108033574549271	0.07197618204596773	0.11055541562260644
92	C4_day	nutr_XP	0.4108033574549271	0.07197618204596773	0.11055541562260644
