Mothur name	Nr reads_0	Sample No.	Subsample	Date of Sampling	Sample Name	Description	Description 2	Fermenter
A2050	33280	2019-14-2050	Mibi	9/24/2019	Fermenter liquid d13 Trt2-Run2-HP2	Fermenter liquid at day 13	Treatment 2 Run 2 Heat pump 2	f
A2051	29730	2019-14-2051	Mibi	9/24/2019	Fermenter liquid d13 Trt3-Run2-HP1	Fermenter liquid at day 13	Treatment 3 Run 2 Heat pump 1	e
A2052	33357	2019-14-2052	Mibi	9/24/2019	Fermenter liquid d13 Trt3-Run2-HP2	Fermenter liquid at day 13	Treatment 3 Run 2 Heat pump 2	h
A2053	34548	2019-14-2053	Mibi	9/24/2019	Fermenter liquid d13 Trt4-Run2-HP1	Fermenter liquid at day 13	Treatment 4 Run 2 Heat pump 1	d
A2054	19955	2019-14-2054	Mibi	9/24/2019	Fermenter liquid d13 Trt4-Run2-HP2	Fermenter liquid at day 13	Treatment 4 Run 2 Heat pump 2	j
A2055	51052	2019-14-2055	Mibi	9/24/2019	Fermenter liquid d13 Trt5-Run2-HP1	Fermenter liquid at day 13	Treatment 5 Run 2 Heat pump 1	a
A2056	43477	2019-14-2056	Mibi	9/24/2019	Fermenter liquid d13 Trt5-Run2-HP2	Fermenter liquid at day 13	Treatment 5 Run 2 Heat pump 2	g
A2057	31998	2019-14-2057	Mibi	9/18/2019	Effluent d7 Trt1-Run2-HP1	Effluent at day 7	Treatment 1 Run 2 Heat pump 1	b
A2058	26957	2019-14-2058	Mibi	9/18/2019	Effluent d7 Trt1-Run2-HP2	Effluent at day 7	Treatment 1 Run 2 Heat pump 2	i
A2059	28841	2019-14-2059	Mibi	9/18/2019	Effluent d7 Trt2-Run2-HP1	Effluent at day 7	Treatment 2 Run 2 Heat pump 1	c
A2060	24070	2019-14-2060	Mibi	9/18/2019	Effluent d7 Trt2-Run2-HP2	Effluent at day 7	Treatment 2 Run 2 Heat pump 2	f
A2061	29955	2019-14-2061	Mibi	9/18/2019	Effluent d7 Trt3-Run2-HP1	Effluent at day 7	Treatment 3 Run 2 Heat pump 1	e
A2062	25728	2019-14-2062	Mibi	9/18/2019	Effluent d7 Trt3-Run2-HP2	Effluent at day 7	Treatment 3 Run 2 Heat pump 2	h
A2063	11530	2019-14-2063	Mibi	9/18/2019	Effluent d7 Trt4-Run2-HP1	Effluent at day 7	Treatment 4 Run 2 Heat pump 1	d
A2064	34359	2019-14-2064	Mibi	9/18/2019	Effluent d7 Trt4-Run2-HP2	Effluent at day 7	Treatment 4 Run 2 Heat pump 2	j
A2065	25306	2019-14-2065	Mibi	9/18/2019	Effluent d7 Trt5-Run2-HP1	Effluent at day 7	Treatment 5 Run 2 Heat pump 1	a
A2066	21641	2019-14-2066	Mibi	9/18/2019	Effluent d7 Trt5-Run2-HP2	Effluent at day 7	Treatment 5 Run 2 Heat pump 2	g
A2067	21030	2019-14-2067	Mibi	9/24/2019	Effluent d13 Trt1-Run2-HP1	Effluent at day 13	Treatment 1 Run 2 Heat pump 1	b
A2068	24246	2019-14-2068	Mibi	9/24/2019	Effluent d13 Trt1-Run2-HP2	Effluent at day 13	Treatment 1 Run 2 Heat pump 2	i
A2069	24912	2019-14-2069	Mibi	9/24/2019	Effluent d13 Trt2-Run2-HP1	Effluent at day 13	Treatment 2 Run 2 Heat pump 1	c
A2070	42229	2019-14-2070	Mibi	9/24/2019	Effluent d13 Trt2-Run2-HP2	Effluent at day 13	Treatment 2 Run 2 Heat pump 2	f
A2071	33003	2019-14-2071	Mibi	9/24/2019	Effluent d13 Trt3-Run2-HP1	Effluent at day 13	Treatment 3 Run 2 Heat pump 1	e
A2072	29426	2019-14-2072	Mibi	9/24/2019	Effluent d13 Trt3-Run2-HP2	Effluent at day 13	Treatment 3 Run 2 Heat pump 2	h
A2073	23264	2019-14-2073	Mibi	9/24/2019	Effluent d13 Trt4-Run2-HP1	Effluent at day 13	Treatment 4 Run 2 Heat pump 1	d
A2074	30189	2019-14-2074	Mibi	9/24/2019	Effluent d13 Trt4-Run2-HP2	Effluent at day 13	Treatment 4 Run 2 Heat pump 2	j
A2075	22842	2019-14-2075	Mibi	9/24/2019	Effluent d13 Trt5-Run2-HP1	Effluent at day 13	Treatment 5 Run 2 Heat pump 1	a
A2076	22586	2019-14-2076	Mibi	9/24/2019	Effluent d13 Trt5-Run2-HP2	Effluent at day 13	Treatment 5 Run 2 Heat pump 2	g
