#SampleID	B1057	B1058	B1059	B1060	B1061	B1062	B1063	B1064	B1065	B1066	B2057	B2058	B2059	B2060	B2061	B2062	B2063	B2064	B2065	B2066
B2057	0.7429130009775171	0.7196738022426096	0.7334004024144869	0.7400204708290685	0.7398543184183143	0.7413984461709212	0.6834677419354839	0.7064039408866996	0.7404255319148936	0.7340862422997947	0.0	0.5391600454029511	0.5888754534461911	0.5811764705882353	0.6324689966178129	0.6418918918918919	0.6065192083818394	0.5775462962962963	0.611170784103115	0.6126840317100792
B2058	0.7266401590457257	0.6982310093652445	0.725609756097561	0.7094736842105264	0.7345225603357818	0.7441601779755284	0.6791878172588832	0.7010923535253227	0.7295258620689655	0.7194994786235662	0.5391600454029511	0.0	0.5759803921568627	0.5633971291866029	0.6426966292134831	0.6321184510250569	0.5910165484633569	0.5783972125435539	0.6135629709364908	0.6199095022624435
B2059	0.7171270718232045	0.7074285714285714	0.7186440677966102	0.7079439252336449	0.7117437722419929	0.6963824289405685	0.7007700770077008	0.7016393442622951	0.7053789731051344	0.7175925925925926	0.5888754534461911	0.5759803921568627	0.0	0.5528781793842035	0.5721784776902887	0.5795006570302234	0.555256064690027	0.560625814863103	0.5790754257907542	0.5714285714285714
B2060	0.7355110642781876	0.7100330760749725	0.7109890109890109	0.7062146892655368	0.7186788154897494	0.6997518610421837	0.6895810955961332	0.6918976545842217	0.712778429073857	0.6980703745743473	0.5811764705882353	0.5633971291866029	0.5528781793842035	0.0	0.5752212389380531	0.5714285714285714	0.5701415701415702	0.5801242236024845	0.581668625146886	0.5618686868686869
B2061	0.7118463180362861	0.6980088495575221	0.7061403508771931	0.6879271070615034	0.6973532796317606	0.6795994993742178	0.6891025641025641	0.6745435016111708	0.6860879904875149	0.6930917327293318	0.6324689966178129	0.6426966292134831	0.5721784776902887	0.5752212389380531	0.0	0.5363636363636364	0.6007509386733417	0.5958485958485958	0.5734430082256169	0.5746268656716418
B2062	0.7193169690501601	0.6971046770601337	0.6820224719101123	0.6778290993071594	0.6811254396248535	0.6750948166877371	0.6753528773072747	0.6806451612903226	0.6723095525997581	0.6800920598388953	0.6418918918918919	0.6321184510250569	0.5795006570302234	0.5714285714285714	0.5363636363636364	0.0	0.6181592039800995	0.5818858560794045	0.6078431372549019	0.5903465346534653
B2063	0.7383474576271186	0.7227722772277227	0.7236842105263158	0.7293064876957495	0.7187141216991964	0.7251533742331289	0.6964477933261571	0.7124735729386892	0.7020262216924911	0.7112117780294449	0.6065192083818394	0.5910165484633569	0.555256064690027	0.5701415701415702	0.6007509386733417	0.6181592039800995	0.0	0.5807259073842302	0.5872641509433962	0.5732323232323232
B2064	0.7417695473251029	0.7102702702702702	0.7098166127292341	0.7234972677595628	0.7258601553829079	0.7340425531914894	0.686046511627907	0.6924686192468619	0.7129735935706085	0.7227074235807859	0.5775462962962963	0.5783972125435539	0.560625814863103	0.5801242236024845	0.5958485958485958	0.5818858560794045	0.5807259073842302	0.0	0.5845799769850403	0.5777233782129743
B2065	0.7232142857142857	0.7041237113402062	0.7090163934426229	0.6990496304118268	0.6797385620915033	0.7102272727272727	0.6797979797979798	0.6740665993945509	0.6730123180291153	0.6759656652360515	0.611170784103115	0.6135629709364908	0.5790754257907542	0.581668625146886	0.5734430082256169	0.6078431372549019	0.5872641509433962	0.5845799769850403	0.0	0.5369928400954654
B2066	0.7031914893617022	0.7076086956521739	0.7071583514099783	0.6921348314606741	0.6728538283062645	0.7003654080389768	0.6691729323308271	0.6702241195304163	0.6509661835748792	0.6780045351473923	0.6126840317100792	0.6199095022624435	0.5714285714285714	0.5618686868686869	0.5746268656716418	0.5903465346534653	0.5732323232323232	0.5777233782129743	0.5369928400954654	0.0
