#SampleID	B1027	B1028	B1029	B1030	B1031	B1032	B1033	B1034	B1035	B1036	B2027	B2028	B2029	B2030	B2031	B2032	B2033	B2034	B2035	B2036
B2027	0.6672967863894139	0.6415841584158416	0.6660808435852372	0.6906614785992218	0.6875	0.7217391304347827	0.6440972222222222	0.6811881188118812	0.7323943661971831	0.7148514851485148	0.0	0.4845814977973568	0.5315904139433552	0.5086206896551724	0.5861344537815126	0.5903361344537815	0.5160599571734475	0.5377358490566038	0.5225409836065574	0.5762376237623762
B2028	0.6551724137931034	0.6297872340425532	0.6420454545454546	0.6989690721649484	0.6736842105263158	0.6973684210526315	0.6465201465201466	0.6609442060085837	0.7161572052401747	0.6804347826086956	0.4845814977973568	0.0	0.5537757437070938	0.5260770975056689	0.5756207674943566	0.5865168539325842	0.5102974828375286	0.5161943319838057	0.5491452991452992	0.5626326963906582
B2029	0.6618556701030928	0.6214442013129103	0.626953125	0.6557734204793029	0.625	0.6942307692307692	0.6499068901303539	0.6593406593406593	0.7013574660633484	0.6704035874439462	0.5315904139433552	0.5537757437070938	0.0	0.489311163895487	0.5309523809523811	0.5287081339712919	0.5389908256880734	0.5533199195171026	0.5022522522522522	0.539647577092511
B2030	0.6606425702811245	0.6242038216560509	0.6266666666666667	0.6546610169491526	0.6624472573839663	0.6698473282442748	0.6490909090909089	0.646551724137931	0.6989010989010989	0.6600877192982456	0.5086206896551724	0.5260770975056689	0.489311163895487	0.0	0.4880952380952381	0.5140845070422535	0.5079726651480638	0.526	0.5119825708061002	0.4933628318584071
B2031	0.6829268292682927	0.6326086956521739	0.6262230919765166	0.6491228070175439	0.6085972850678733	0.6627218934911243	0.6261859582542695	0.640625	0.6947608200455581	0.6422018348623854	0.5861344537815126	0.5756207674943566	0.5309523809523811	0.4880952380952381	0.0	0.5060827250608273	0.5311778290993071	0.5668662674650699	0.5309734513274337	0.502262443438914
B2032	0.6843177189409368	0.6602564102564102	0.6193293885601578	0.6564551422319475	0.6099773242630385	0.6613861386138614	0.6247619047619047	0.6266968325791855	0.6873563218390805	0.6436781609195402	0.5903361344537815	0.5865168539325842	0.5287081339712919	0.5140845070422535	0.5060827250608273	0.0	0.5848214285714286	0.5877712031558185	0.5353982300884956	0.5398230088495575
B2033	0.6719681908548708	0.630801687763713	0.6479400749063671	0.6886597938144329	0.6853002070393375	0.7097966728280961	0.6642728904847397	0.6502145922746781	0.7136659436008677	0.6666666666666666	0.5160599571734475	0.5102974828375286	0.5389908256880734	0.5079726651480638	0.5311778290993071	0.5848214285714286	0.0	0.532803180914513	0.5162689804772235	0.4977973568281938
B2034	0.6818980667838312	0.6412639405204461	0.66	0.6992753623188406	0.6771217712177122	0.7043189368770764	0.6392092257001647	0.6978021978021978	0.7264150943396226	0.6979362101313321	0.5377358490566038	0.5161943319838057	0.5533199195171026	0.526	0.5668662674650699	0.5877712031558185	0.532803180914513	0.0	0.512621359223301	0.5107212475633528
B2035	0.6641074856046065	0.6211812627291242	0.6388384754990926	0.6585858585858586	0.6386036960985626	0.6678899082568808	0.6456140350877193	0.6673427991886409	0.700836820083682	0.6497890295358649	0.5225409836065574	0.5491452991452992	0.5022522522522522	0.5119825708061002	0.5309734513274337	0.5353982300884956	0.5162689804772235	0.512621359223301	0.0	0.4893617021276596
B2036	0.6979362101313321	0.6445783132530121	0.635036496350365	0.6653225806451613	0.6427104722792608	0.6592592592592592	0.6151079136690647	0.6438923395445134	0.6716738197424893	0.6220302375809935	0.5762376237623762	0.5626326963906582	0.539647577092511	0.4933628318584071	0.502262443438914	0.5398230088495575	0.4977973568281938	0.5107212475633528	0.4893617021276596	0.0
