#SampleID	B1027	B1028	B1029	B1030	B1031	B1032	B1033	B1034	B1035	B1036	B2027	B2028	B2029	B2030	B2031	B2032	B2033	B2034	B2035	B2036
B2027	0.5370560109289617	0.512636612021858	0.5495218579234973	0.5443989071038251	0.5884562841530054	0.5891393442622951	0.5821379781420765	0.5433743169398907	0.5799180327868853	0.5915300546448088	0.0	0.2774931693989071	0.30652322404371585	0.2612704918032787	0.3942964480874317	0.3644125683060109	0.34255464480874315	0.3218920765027322	0.3459699453551913	0.4135928961748634
B2028	0.5034153005464481	0.4871926229508197	0.532103825136612	0.500853825136612	0.537568306010929	0.5406420765027322	0.5638661202185792	0.5141734972677595	0.5667691256830601	0.5684767759562842	0.2774931693989071	0.0	0.3043032786885246	0.23650956284153005	0.3895150273224044	0.3452868852459016	0.3078893442622951	0.27476092896174864	0.3193306010928962	0.3703893442622951
B2029	0.5037568306010929	0.4745560109289618	0.5042691256830601	0.4774590163934426	0.5122950819672131	0.5233948087431693	0.5452527322404371	0.4955601092896175	0.5266393442622951	0.5443989071038251	0.30652322404371585	0.3043032786885246	0.0	0.2802254098360656	0.257172131147541	0.21209016393442626	0.22694672131147545	0.27322404371584696	0.3304303278688525	0.2692964480874317
B2030	0.51775956284153	0.5081967213114754	0.5216871584699454	0.5080259562841529	0.5479849726775956	0.5332991803278688	0.5718920765027322	0.524931693989071	0.5648907103825137	0.5747950819672131	0.2612704918032787	0.23650956284153005	0.2802254098360656	0.0	0.3314549180327869	0.29883879781420764	0.28654371584699456	0.31079234972677594	0.2711748633879781	0.35075136612021857
B2031	0.4981215846994536	0.4550887978142077	0.4537226775956284	0.4556010928961749	0.4728483606557377	0.4837773224043716	0.4853142076502732	0.4451844262295082	0.4740437158469946	0.4832650273224044	0.3942964480874317	0.3895150273224044	0.257172131147541	0.3314549180327869	0.0	0.18442622950819676	0.24726775956284155	0.3208674863387978	0.3031079234972678	0.24795081967213115
B2032	0.461577868852459	0.4648224043715847	0.4545765027322404	0.4392076502732241	0.4556010928961749	0.4672131147540984	0.4868510928961749	0.4504781420765027	0.4846311475409836	0.4836065573770492	0.3644125683060109	0.3452868852459016	0.21209016393442626	0.29883879781420764	0.18442622950819676	0.0	0.2308743169398907	0.2764685792349727	0.30396174863387976	0.2634904371584699
B2033	0.5061475409836066	0.5001707650273224	0.5210040983606558	0.5040983606557377	0.5445696721311475	0.5413251366120219	0.5471311475409836	0.5151980874316939	0.5452527322404371	0.5590846994535519	0.34255464480874315	0.3078893442622951	0.22694672131147545	0.28654371584699456	0.24726775956284155	0.2308743169398907	0.0	0.2462431693989071	0.3444330601092896	0.2535860655737705
B2034	0.483094262295082	0.4658469945355192	0.4969262295081967	0.4726775956284153	0.4880464480874317	0.5018784153005464	0.5307377049180327	0.4900956284153005	0.536714480874317	0.5428620218579235	0.3218920765027322	0.27476092896174864	0.27322404371584696	0.31079234972677594	0.3208674863387978	0.2764685792349727	0.2462431693989071	0.0	0.33674863387978143	0.3080601092896175
B2035	0.5420081967213115	0.496584699453552	0.5051229508196722	0.5018784153005464	0.5191256830601093	0.5317622950819673	0.5350068306010929	0.4865095628415301	0.5268101092896175	0.5187841530054644	0.3459699453551913	0.3193306010928962	0.3304303278688525	0.2711748633879781	0.3031079234972678	0.30396174863387976	0.3444330601092896	0.33674863387978143	0.0	0.3000341530054645
B2036	0.5677937158469946	0.511441256830601	0.5128073770491803	0.5213456284153005	0.5266393442622951	0.543886612021858	0.5274931693989071	0.5027322404371585	0.5300546448087432	0.5266393442622951	0.4135928961748634	0.3703893442622951	0.2692964480874317	0.35075136612021857	0.24795081967213115	0.2634904371584699	0.2535860655737705	0.3080601092896175	0.3000341530054645	0.0
