#SampleID	B1007	B1008	B1009	B1010	B1011	B1012	B1013	B1014	B1015	B1016	B1017	B1018	B1019	B1020	B1021	B1022	B1025	B1026	B2007	B2008	B2009	B2010	B2011	B2012	B2013	B2014	B2015	B2016	B2017	B2018	B2019	B2020	B2021	B2022	B2023	B2024	B2025	B2026
B1017	0.4795081967213114	0.44347677595628415	0.3722677595628415	0.4088114754098361	0.27322404371584696	0.567964480874317	0.3780737704918033	0.3746584699453552	0.3695355191256831	0.4989754098360656	0.0	0.4871926229508197	0.36424180327868855	0.4007855191256831	0.3618510928961749	0.3953210382513661	0.5867486338797814	0.30720628415300544	0.5727459016393442	0.5978483606557377	0.5047814207650273	0.6857923497267759	0.5968237704918032	0.6454918032786885	0.5387636612021858	0.6125341530054644	0.4509904371584699	0.5087090163934426	0.4538934426229509	0.6116803278688525	0.5783811475409836	0.6383196721311475	0.5435450819672131	0.6140710382513661	0.5206625683060109	0.5959699453551912	0.5363729508196722	0.581113387978142
B1018	0.6410519125683061	0.599214480874317	0.5271516393442623	0.5493510928961749	0.4887295081967213	0.20765027322404367	0.5430327868852459	0.5315915300546448	0.3770491803278688	0.4323770491803279	0.4871926229508197	0.0	0.5628415300546448	0.5621584699453552	0.3987363387978142	0.5459357923497268	0.4738729508196721	0.5003415300546448	0.7127732240437158	0.7049180327868853	0.7013319672131147	0.6340505464480874	0.7720286885245902	0.6272199453551912	0.6789617486338798	0.7134562841530054	0.6217554644808743	0.5758196721311475	0.6441256830601093	0.524931693989071	0.7339480874316942	0.6675204918032787	0.6412226775956285	0.6396857923497268	0.6775956284153005	0.587431693989071	0.7114071038251366	0.6784494535519126
B1019	0.3329918032786885	0.5066598360655737	0.3767076502732241	0.39976092896174864	0.29508196721311475	0.6215846994535519	0.3886612021857924	0.4591871584699453	0.44330601092896177	0.5421789617486339	0.36424180327868855	0.5628415300546448	0.0	0.31489071038251365	0.44706284153005466	0.3869535519125683	0.6212431693989071	0.4137636612021858	0.6565915300546448	0.7226775956284153	0.6197062841530054	0.7819330601092896	0.6663251366120219	0.7648565573770492	0.6514685792349727	0.7551229508196722	0.5957991803278688	0.6547131147540983	0.567964480874317	0.7462431693989071	0.6152663934426229	0.7704918032786885	0.6285860655737705	0.724214480874317	0.6478825136612022	0.7209699453551912	0.5918715846994536	0.7124316939890709
B1020	0.3792691256830601	0.4197404371584699	0.3430669398907104	0.2937158469945355	0.3480191256830601	0.5747950819672131	0.375853825136612	0.38029371584699456	0.4622609289617486	0.4556010928961749	0.4007855191256831	0.5621584699453552	0.31489071038251365	0.0	0.3958333333333333	0.2561475409836065	0.641905737704918	0.3516051912568306	0.6183401639344263	0.6492486338797814	0.5983606557377049	0.7207991803278688	0.6431010928961749	0.6801571038251366	0.6181693989071039	0.6559084699453552	0.5659153005464481	0.5877732240437158	0.5515710382513661	0.6707650273224044	0.5908469945355191	0.6687158469945356	0.587431693989071	0.6494193989071039	0.5971653005464481	0.6372950819672131	0.5809426229508197	0.625
B1021	0.5237363387978142	0.44706284153005466	0.3912226775956284	0.4093237704918033	0.3765368852459016	0.41683743169398907	0.4349385245901639	0.4079576502732241	0.31830601092896177	0.4076161202185792	0.3618510928961749	0.3987363387978142	0.44706284153005466	0.3958333333333333	0.0	0.3912226775956284	0.4094945355191257	0.3488729508196721	0.5437158469945356	0.5597677595628415	0.5269808743169399	0.5693306010928961	0.6577868852459017	0.5182718579234973	0.5196379781420765	0.5776980874316939	0.4914617486338798	0.4567964480874317	0.4644808743169399	0.5035860655737705	0.5836748633879781	0.5514002732240437	0.4803620218579235	0.5066598360655737	0.518613387978142	0.4740437158469946	0.5677937158469946	0.5338114754098361
B1022	0.4178620218579235	0.4627732240437159	0.3828551912568306	0.3234289617486339	0.389344262295082	0.6002390710382514	0.3948087431693989	0.3917349726775956	0.4595286885245902	0.4325478142076503	0.3953210382513661	0.5459357923497268	0.3869535519125683	0.2561475409836065	0.3912226775956284	0.0	0.6425887978142076	0.3121584699453552	0.5841871584699454	0.6140710382513661	0.567964480874317	0.6847677595628415	0.6378073770491803	0.6535177595628415	0.5816256830601093	0.6357581967213115	0.5334699453551912	0.5541325136612022	0.5541325136612022	0.6429303278688525	0.5758196721311475	0.6548838797814208	0.5577185792349727	0.6219262295081968	0.5701844262295082	0.6096311475409836	0.5911885245901639	0.6014344262295082
B1025	0.6897199453551912	0.67400956284153	0.625853825136612	0.6663251366120219	0.6243169398907104	0.42896174863387976	0.6470286885245902	0.6690573770491803	0.4740437158469946	0.499146174863388	0.5867486338797814	0.4738729508196721	0.6212431693989071	0.641905737704918	0.4094945355191257	0.6425887978142076	0.0	0.6292691256830601	0.7148224043715847	0.7344603825136612	0.6938183060109289	0.6642759562841529	0.7822745901639344	0.6658128415300546	0.6845969945355191	0.7529030054644809	0.679474043715847	0.6555669398907104	0.641905737704918	0.6111680327868853	0.7378756830601093	0.7023565573770492	0.6495901639344263	0.6683743169398907	0.6921106557377049	0.6139002732240437	0.7056010928961749	0.7047472677595629
B1026	0.4994877049180328	0.3746584699453552	0.3485314207650273	0.3085724043715847	0.31898907103825136	0.5876024590163934	0.3949795081967213	0.3239412568306011	0.431181693989071	0.4943647540983607	0.30720628415300544	0.5003415300546448	0.4137636612021858	0.3516051912568306	0.3488729508196721	0.3121584699453552	0.6292691256830601	0.0	0.5507172131147541	0.5351775956284153	0.5189549180327869	0.6306352459016393	0.6173155737704918	0.5940915300546448	0.5484972677595629	0.561646174863388	0.459016393442623	0.461577868852459	0.5005122950819673	0.575136612021858	0.5558401639344263	0.5807718579234973	0.5334699453551912	0.5484972677595629	0.5155396174863388	0.5413251366120219	0.5631830601092896	0.5326161202185792
B2007	0.6139002732240437	0.5471311475409836	0.5450819672131147	0.5674521857923497	0.5838456284153005	0.7199453551912568	0.5905054644808743	0.5476434426229508	0.6306352459016393	0.713285519125683	0.5727459016393442	0.7127732240437158	0.6565915300546448	0.6183401639344263	0.5437158469945356	0.5841871584699454	0.7148224043715847	0.5507172131147541	0.0	0.3084016393442623	0.28364071038251365	0.4335724043715847	0.4448428961748634	0.4103483606557377	0.2872267759562841	0.3888319672131148	0.4248633879781421	0.451844262295082	0.38558743169398907	0.5046106557377049	0.4234972677595629	0.4351092896174864	0.29354508196721313	0.3826844262295082	0.3119877049180328	0.4084699453551913	0.475068306010929	0.4260587431693989
B2008	0.6695696721311475	0.4755806010928962	0.561646174863388	0.5409836065573771	0.6161202185792349	0.7137978142076503	0.6154371584699454	0.4883879781420765	0.6422472677595629	0.7283128415300546	0.5978483606557377	0.7049180327868853	0.7226775956284153	0.6492486338797814	0.5597677595628415	0.6140710382513661	0.7344603825136612	0.5351775956284153	0.3084016393442623	0.0	0.4012978142076503	0.38097677595628415	0.5695013661202186	0.3114754098360656	0.4166666666666667	0.25136612021857924	0.4810450819672131	0.3837090163934426	0.4690915300546448	0.3744877049180328	0.5348360655737705	0.28364071038251365	0.3789275956284153	0.26400273224043713	0.407103825136612	0.33794398907103823	0.5910177595628415	0.3710724043715847
