featureid	rab.all	rab.win.TMR	rab.win.Trt	diff.btw	diff.win	effect	overlap	we.ep	we.eBH	wi.ep	wi.eBH	BS	Treatment
Atopobium_u_r|e1d34271efe7b6c1bb28d0743ab3afce	1.29479629891114	2.7537322794804	-1.7762931855668997	-5.23296123649919	4.462090235729059	-1.20582550069656	0.0175460744574485	0.00562743011800664	0.0308244733699763	0.000376359751359751	0.00209772866022866	FL	Trt3
F082_u_r|77187fc5bcbdc5af239a6fef481430b2	6.47791782281605	7.460036246439099	5.75235431857151	-1.7445771288410903	0.734211374853155	-2.25798493743619	0.00013705627678544099	0.000129077535783461	0.0011531334490562301	0.000171182983682984	0.00107612295112295	FL	Trt3
Prevotella_u_r|30d01f6e414133dbea2c154c0291625f	1.2767201373589698	-5.33151196183427	3.4321542202773703	8.98036659092423	2.92871546138307	2.93960368492456	0.00013705627678544099	0.000225443837630832	0.0017773913327953398	0.000155400155400155	0.00102594165094165	FL	Trt3
Succiniclasticum|18149f2e17cbffa9665ceaf38b049a50	2.90289600579909	4.09054473247812	2.07281482664089	-1.97015920326993	0.7445623400809429	-2.6099550700460097	0.00391628806195076	1.1173598977883699e-05	0.000273835047218087	0.000194250194250194	0.00119140119140119	FL	Trt3
Rikenellaceae_RC9_gut_gr|01fe362d9a20df796e9502d11a75a3c8	0.6309967821920899	-4.950679572060491	2.77075886471609	7.632829739443129	3.32845313814591	2.2779225502635803	0.00013705627678544099	0.00048495922720869807	0.0034540036153121604	0.000155400155400155	0.00102594165094165	FL	Trt3
Prevotella_u_r|30d01f6e414133dbea2c154c0291625f	-1.99382757580775	-5.454124131619519	3.41838337010073	8.73745454255797	2.7492176287590198	3.19414779648408	0.000156632676208107	0.000163823983383723	0.00655295933534893	0.00031080031080031096	0.010538073038073	FL	Trt5
Rikenellaceae_RC9_gut_gr_u_r|81ffeaa319d4a3683d32a739093dab80	1.48516417712937	-1.3027681878108102	3.35201324812298	5.25078357078495	4.0428730492598905	1.57146600171307	0.00013705627678544099	0.00388229716163209	0.0360816533673983	0.000156614219114219	0.00222695707070707	E	Trt2
F082_u_r|ea7595bee6c1b82981459b8f86f9c125	5.80828324291147	6.23369669409598	5.2550825496034195	-1.09867024733202	0.9598302758268771	-1.08308368895784	0.101562847017467	0.00702013908442231	0.0517715224873559	0.0105684246309246	0.0692446225649351	E	Trt2
F082_u_r|77187fc5bcbdc5af239a6fef481430b2	6.75381549599024	7.226999099506131	6.22474944890685	-1.15856215210223	0.9770628875802758	-1.07805765665167	0.109162111532595	0.00612411196858067	0.0502976091794448	0.00829933954933955	0.058510946518759	E	Trt2
Prevotella_u_r|30d01f6e414133dbea2c154c0291625f	0.7053074260845099	-2.9967410627613504	3.09092834116894	5.97336108373752	3.12194336606109	2.11222400131726	0.00013705627678544099	0.00125298778249163	0.0159946533956719	0.000155400155400155	0.00221906565656566	E	Trt2
