	Feature	KW	Group1	Group2	p	q
97	Methanosphaera	8.166872388111785e-06	FR_d13	FL_d13	0.008953158124825219	0.02278985704500965
98	Methanosphaera	8.166872388111785e-06	FR_d13	E_d7	0.0008741190610493348	0.0040792222848968955
99	Methanosphaera	8.166872388111785e-06	FR_d13	FL_d7	0.2798123407499489	0.35612479731811675
100	Methanosphaera	8.166872388111785e-06	FR_d13	RF_d0	0.15798319728499022	0.232817343367354
101	Methanosphaera	8.166872388111785e-06	FR_d13	SAM_d13	0.11082356633774462	0.1825329327915794
102	Methanosphaera	8.166872388111785e-06	FL_d13	E_d7	0.5361481329200768	0.600485908870486
103	Methanosphaera	8.166872388111785e-06	FL_d13	FL_d7	0.18427703325235556	0.253606041518519
104	Methanosphaera	8.166872388111785e-06	FL_d13	RF_d0	0.0025418717273670327	0.008823214696764467
105	Methanosphaera	8.166872388111785e-06	FL_d13	SAM_d13	0.37736042851016194	0.45939530427324066
106	Methanosphaera	8.166872388111785e-06	E_d7	FL_d7	0.0516128530648176	0.09634399238765953
107	Methanosphaera	8.166872388111785e-06	E_d7	RF_d0	0.0004903634022153796	0.003432543815507657
108	Methanosphaera	8.166872388111785e-06	E_d7	SAM_d13	0.1332473667597756	0.2072736816263176
109	Methanosphaera	8.166872388111785e-06	FL_d7	RF_d0	0.04393980937101925	0.0878796187420385
110	Methanosphaera	8.166872388111785e-06	FL_d7	SAM_d13	0.6563700695261074	0.6940170216459841
111	Methanosphaera	8.166872388111785e-06	RF_d0	SAM_d13	0.018723018900705365	0.04368704410164585
