#SampleID	A1007	A1008	A1009	A1010	A1011	A1012	A1013	A1014	A1015	A1016	A1017	A1018	A1019	A1020	A1021	A1022	A1023	A1024	A1025	A1026	A2007	A2008	A2009	A2010	A2011	A2012	A2013	A2014	A2015	A2016	A2017	A2018	A2019	A2020	A2021	A2022	A2023	A2024	A2025	A2026
A1017	0.22857142857142854	0.1176470588235294	0.18181818181818185	0.14705882352941174	0.16129032258064516	0.15625	0.125	0.16666666666666666	0.16129032258064516	0.2571428571428571	0.0	0.15625	0.21212121212121213	0.2777777777777778	0.15151515151515152	0.2777777777777778	0.25	0.17142857142857146	0.09375	0.125	0.3636363636363637	0.3235294117647059	0.2571428571428571	0.3125	0.28125	0.3548387096774194	0.2727272727272727	0.25	0.24242424242424246	0.22857142857142854	0.2777777777777778	0.2894736842105263	0.3235294117647059	0.2727272727272727	0.2894736842105263	0.22857142857142854	0.3170731707317073	0.3	0.30303030303030304	0.3863636363636364
A1018	0.2571428571428571	0.25	0.2647058823529412	0.17647058823529413	0.25	0.1875	0.15625	0.2894736842105263	0.13333333333333333	0.125	0.15625	0.0	0.12903225806451613	0.15151515151515152	0.18181818181818185	0.15151515151515152	0.2258064516129032	0.25	0.2352941176470588	0.21212121212121213	0.3939393939393939	0.4	0.3333333333333333	0.2333333333333333	0.25806451612903225	0.3870967741935484	0.1935483870967742	0.32432432432432434	0.21875	0.2058823529411765	0.2571428571428571	0.3157894736842105	0.30303030303030304	0.30303030303030304	0.3157894736842105	0.2571428571428571	0.3809523809523809	0.36585365853658536	0.28125	0.372093023255814
A1019	0.3055555555555556	0.2972972972972973	0.3142857142857143	0.22857142857142854	0.30303030303030304	0.24242424242424246	0.21212121212121213	0.3333333333333333	0.1935483870967742	0.125	0.21212121212121213	0.12903225806451613	0.0	0.09375	0.2352941176470588	0.2571428571428571	0.2258064516129032	0.25	0.2857142857142857	0.2647058823529412	0.3939393939393939	0.4	0.3333333333333333	0.2903225806451613	0.3125	0.3870967741935484	0.1935483870967742	0.3684210526315789	0.2727272727272727	0.2571428571428571	0.2571428571428571	0.35897435897435903	0.30303030303030304	0.35294117647058826	0.35897435897435903	0.3055555555555556	0.4186046511627907	0.4047619047619048	0.3333333333333333	0.4090909090909091
A1020	0.35897435897435903	0.35	0.3684210526315789	0.2432432432432433	0.3611111111111111	0.3055555555555556	0.2777777777777778	0.3809523809523809	0.2647058823529412	0.09090909090909093	0.2777777777777778	0.15151515151515152	0.09375	0.0	0.2972972972972973	0.2222222222222222	0.29411764705882354	0.2631578947368421	0.2972972972972973	0.32432432432432434	0.4444444444444444	0.4473684210526316	0.38461538461538464	0.35294117647058826	0.37142857142857133	0.4411764705882353	0.2647058823529412	0.4146341463414634	0.3333333333333333	0.3157894736842105	0.3157894736842105	0.4047619047619048	0.3611111111111111	0.40540540540540543	0.4047619047619048	0.35897435897435903	0.4565217391304348	0.4444444444444444	0.3888888888888889	0.37777777777777777
A1021	0.25	0.19444444444444445	0.2571428571428571	0.2222222222222222	0.24242424242424246	0.18181818181818185	0.09375	0.2368421052631579	0.24242424242424246	0.2777777777777778	0.15151515151515152	0.18181818181818185	0.2352941176470588	0.2972972972972973	0.0	0.25	0.2727272727272727	0.19444444444444445	0.12121212121212123	0.15151515151515152	0.38235294117647056	0.3428571428571429	0.32432432432432434	0.28125	0.30303030303030304	0.42424242424242425	0.29411764705882354	0.3157894736842105	0.3142857142857143	0.2972972972972973	0.34210526315789475	0.3902439024390244	0.3428571428571429	0.3428571428571429	0.2631578947368421	0.25	0.3333333333333333	0.3170731707317073	0.37142857142857133	0.4
A1022	0.3157894736842105	0.2631578947368421	0.2777777777777778	0.2894736842105263	0.3611111111111111	0.2571428571428571	0.2777777777777778	0.3809523809523809	0.21212121212121213	0.14705882352941174	0.2777777777777778	0.15151515151515152	0.2571428571428571	0.2222222222222222	0.25	0.0	0.24242424242424246	0.2631578947368421	0.2972972972972973	0.2777777777777778	0.4444444444444444	0.4473684210526316	0.425	0.35294117647058826	0.3235294117647059	0.4411764705882353	0.3142857142857143	0.4146341463414634	0.3333333333333333	0.3157894736842105	0.35897435897435903	0.4047619047619048	0.40540540540540543	0.40540540540540543	0.36585365853658536	0.35897435897435903	0.3863636363636364	0.4090909090909091	0.3888888888888889	0.4130434782608696
A1023	0.24242424242424246	0.2857142857142857	0.30303030303030304	0.3142857142857143	0.2903225806451613	0.2258064516129032	0.30303030303030304	0.3684210526315789	0.1724137931034483	0.3235294117647059	0.25	0.2258064516129032	0.2258064516129032	0.29411764705882354	0.2727272727272727	0.24242424242424246	0.0	0.2352941176470588	0.3235294117647059	0.25	0.4375	0.4411764705882353	0.37142857142857133	0.3870967741935484	0.3548387096774194	0.43333333333333335	0.34375	0.4473684210526316	0.3636363636363637	0.3428571428571429	0.3888888888888889	0.3947368421052632	0.3939393939393939	0.34375	0.35135135135135137	0.3888888888888889	0.4146341463414634	0.4	0.3225806451612903	0.4772727272727273
A1024	0.3076923076923077	0.21052631578947367	0.3157894736842105	0.28205128205128205	0.3055555555555556	0.25	0.2222222222222222	0.25	0.2571428571428571	0.2894736842105263	0.17142857142857146	0.25	0.25	0.2631578947368421	0.19444444444444445	0.2631578947368421	0.2352941176470588	0.0	0.14285714285714285	0.2222222222222222	0.3888888888888889	0.3947368421052632	0.2894736842105263	0.3888888888888889	0.3611111111111111	0.42857142857142855	0.35135135135135137	0.36585365853658536	0.32432432432432434	0.3076923076923077	0.35	0.35714285714285715	0.35135135135135137	0.3055555555555556	0.275	0.2631578947368421	0.2619047619047619	0.2857142857142857	0.3783783783783784	0.2954545454545455
A1025	0.2972972972972973	0.19444444444444445	0.2571428571428571	0.2222222222222222	0.1875	0.2352941176470588	0.15151515151515152	0.1891891891891892	0.24242424242424246	0.2777777777777778	0.09375	0.2352941176470588	0.2857142857142857	0.2972972972972973	0.12121212121212123	0.2972972972972973	0.3235294117647059	0.14285714285714285	0.0	0.15151515151515152	0.3333333333333333	0.29411764705882354	0.2777777777777778	0.3333333333333333	0.30303030303030304	0.375	0.3428571428571429	0.3157894736842105	0.3142857142857143	0.2972972972972973	0.34210526315789475	0.35	0.3428571428571429	0.29411764705882354	0.3076923076923077	0.25	0.3333333333333333	0.3170731707317073	0.37142857142857133	0.3636363636363637
A1026	0.22857142857142854	0.2222222222222222	0.125	0.14705882352941174	0.2727272727272727	0.15625	0.125	0.16666666666666666	0.1	0.3055555555555556	0.125	0.21212121212121213	0.2647058823529412	0.32432432432432434	0.15151515151515152	0.2777777777777778	0.25	0.2222222222222222	0.15151515151515152	0.0	0.3636363636363637	0.3235294117647059	0.35135135135135137	0.3636363636363637	0.3333333333333333	0.40625	0.3235294117647059	0.34210526315789475	0.3428571428571429	0.32432432432432434	0.3684210526315789	0.3333333333333333	0.37142857142857133	0.3235294117647059	0.3333333333333333	0.2777777777777778	0.35714285714285715	0.3	0.4	0.4222222222222222
